playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Lauri Markkanen,41,82.93,53.85,true,41,87.8,69.23,true,40,87.5,66.67,true,41,87.8,38.46,true,15,86.67,0,true,15,93.33,20,true,15,86.67,40,true,14,100,60,true
Lonzo Ball,23,95.65,57.14,true,24,95.83,37.5,true,24,91.67,75,true,16,93.75,80,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Luguentz Dort,53,83.02,62.5,true,53,90.57,56.25,true,52,90.38,68.75,true,51,90.2,43.75,true,32,84.38,40,true,32,93.75,50,true,32,96.88,20,true,32,87.5,40,true
Luka Garza,24,95.83,50,true,24,95.83,75,true,22,90.91,57.14,true,2,100,,true,16,100,80,true,16,93.75,60,true,16,93.75,40,true,14,85.71,40,true
Marcus Sasser,4,100,,true,4,100,,true,4,100,,true,2,100,,true,3,100,,true,3,100,,true,3,100,,true,3,100,,true
Maxi Kleber,2,100,,true,2,100,,true,2,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Micah Peavy,13,92.31,25,true,13,92.31,50,true,13,92.31,50,true,2,100,,true,6,100,,true,6,100,,true,6,100,,true,6,83.33,,true
Micah Potter,9,100,66.67,true,9,100,33.33,true,8,100,33.33,true,3,100,,true,4,100,,true,2,100,,true,4,100,,true,4,100,,true
Mike Conley,30,96.67,55.56,true,28,96.43,55.56,true,30,90,44.44,true,9,100,33.33,true,9,100,66.67,true,10,100,66.67,true,10,100,33.33,true,10,100,33.33,true
Miles Bridges,58,94.83,44.44,true,57,92.98,44.44,true,58,93.1,38.89,true,58,87.93,44.44,true,28,96.43,77.78,true,28,100,44.44,true,28,100,66.67,true,28,89.29,55.56,true
Miles McBride,33,84.85,20,true,33,93.94,60,true,33,90.91,40,true,16,87.5,80,true,8,100,33.33,true,8,100,33.33,true,8,87.5,66.67,true,8,100,100,true
Mohamed Diawara,7,100,,true,7,100,,true,7,100,,true,4,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Moritz Wagner,7,100,,true,7,100,,true,7,100,,true,1,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Mouhamed Gueye,28,100,55.56,true,28,96.43,44.44,true,22,95.45,85.71,true,11,100,25,true,13,100,50,true,13,100,100,true,13,100,25,true,13,92.31,50,true
Myles Turner,58,94.83,61.11,true,57,80.7,44.44,true,58,86.21,50,true,56,91.07,58.82,true,32,93.75,70,true,32,93.75,30,true,34,94.12,54.55,true,32,93.75,80,true
Myron Gardner,4,100,,true,5,100,,true,3,100,,true,1,100,,true,4,100,,true,4,100,,true,4,100,,true,1,100,,true
Nicolas Batum,37,91.89,33.33,true,37,83.78,41.67,true,37,91.89,41.67,true,13,84.62,75,true,16,100,100,true,16,87.5,80,true,16,93.75,100,true,16,100,40,true
Nikola Jović,26,96.15,62.5,true,24,95.83,50,true,25,88,75,true,6,100,,true,14,100,60,true,12,100,25,true,12,83.33,50,true,10,100,66.67,true
Nikola Vučević,58,87.93,38.89,true,58,81.03,50,true,58,91.38,66.67,true,48,83.33,46.67,true,22,86.36,42.86,true,22,86.36,57.14,true,22,95.45,42.86,true,22,95.45,42.86,true
Nique Clifford,40,90,50,true,39,87.18,33.33,true,40,85,33.33,true,18,88.89,66.67,true,29,93.1,55.56,true,29,100,55.56,true,29,89.66,22.22,true,29,100,11.11,true
Nolan Traore,28,85.71,33.33,true,25,92,62.5,true,25,92,12.5,true,19,100,50,true,23,91.3,14.29,true,24,91.67,12.5,true,23,95.65,42.86,true,23,91.3,57.14,true
Norman Powell,47,89.36,46.67,true,47,82.98,66.67,true,46,93.48,35.71,true,43,88.37,15.38,true,24,83.33,50,true,24,91.67,12.5,true,24,87.5,62.5,true,24,95.83,100,true
Obi Toppin,3,100,,true,3,100,,true,3,100,,true,3,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Ochai Agbaji,16,100,0,true,16,93.75,80,true,13,92.31,0,true,9,100,33.33,true,3,100,,true,4,100,,true,4,100,,true,4,100,,true
OG Anunoby,51,84.31,50,true,51,96.08,50,true,51,96.08,50,true,46,93.48,35.71,true,31,87.1,30,true,31,87.1,60,true,31,100,40,true,31,93.55,50,true
Olivier-Maxence Prosper,8,87.5,100,true,7,100,,true,5,100,,true,2,100,,true,12,83.33,50,true,11,90.91,50,true,12,83.33,50,true,11,90.91,25,true
Onyeka Okongwu,57,85.96,55.56,true,57,89.47,44.44,true,57,80.7,38.89,true,57,80.7,22.22,true,37,89.19,50,true,37,91.89,66.67,true,37,97.3,58.33,true,37,83.78,50,true
Ousmane Dieng,7,100,,true,7,85.71,,true,7,100,,true,4,100,,true,6,100,,true,6,100,,true,6,100,,true,6,100,,true
P.J. Washington,43,97.67,46.15,true,43,95.35,38.46,true,42,90.48,53.85,true,41,82.93,53.85,true,23,100,28.57,true,23,95.65,42.86,true,23,95.65,57.14,true,23,100,71.43,true
Pat Spencer,16,100,40,true,12,91.67,75,true,14,100,60,true,2,100,,true,8,100,66.67,true,8,100,33.33,true,8,100,100,true,8,100,33.33,true
Paul George,27,100,33.33,true,27,92.59,66.67,true,27,81.48,66.67,true,25,96,37.5,true,3,100,,true,3,100,,true,3,100,,true,3,100,,true
Paul Reed,12,100,50,true,12,91.67,75,true,12,91.67,25,true,9,100,66.67,true,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Peyton Watson,48,89.58,46.67,true,48,81.25,53.33,true,47,85.11,26.67,true,34,94.12,36.36,true,24,95.83,50,true,24,87.5,37.5,true,24,91.67,62.5,true,24,91.67,37.5,true
Quentin Grimes,57,80.7,44.44,true,57,92.98,44.44,true,57,96.49,22.22,true,47,85.11,40,true,36,94.44,72.73,true,36,97.22,81.82,true,36,91.67,54.55,true,35,88.57,27.27,true
Quinten Post,34,85.29,63.64,true,36,97.22,45.45,true,34,94.12,54.55,true,30,93.33,77.78,true,23,91.3,42.86,true,21,95.24,28.57,true,23,100,71.43,true,23,91.3,71.43,true
Rayan Rupert,12,100,25,true,11,81.82,25,true,9,88.89,33.33,true,1,100,,true,8,100,66.67,true,5,100,,true,5,100,,true,5,100,,true
Reed Sheppard,60,86.67,38.89,true,60,81.67,61.11,true,61,86.89,36.84,true,52,80.77,31.25,true,41,87.8,30.77,true,41,92.68,7.69,true,41,87.8,38.46,true,41,87.8,38.46,true
Royce O'Neale,63,85.71,31.58,true,63,90.48,57.89,true,62,88.71,52.63,true,60,95,61.11,true,35,88.57,63.64,true,35,94.29,72.73,true,35,91.43,90.91,true,35,80,54.55,true
Rui Hachimura,51,86.27,62.5,true,51,88.24,50,true,50,90,53.33,true,39,82.05,58.33,true,29,100,55.56,true,29,93.1,55.56,true,29,100,44.44,true,28,96.43,44.44,true
Russell Westbrook,59,93.22,66.67,true,59,81.36,50,true,59,91.53,50,true,55,81.82,35.29,true,43,81.4,76.92,true,43,86.05,69.23,true,43,88.37,76.92,true,43,97.67,76.92,true
Ryan Dunn,42,85.71,46.15,true,42,90.48,46.15,true,41,97.56,53.85,true,20,95,66.67,true,18,100,83.33,true,17,88.24,50,true,18,88.89,50,true,17,100,66.67,true
Ryan Rollins,60,88.33,38.89,true,60,85,55.56,true,60,90,50,true,58,89.66,27.78,true,35,97.14,54.55,true,35,94.29,45.45,true,36,88.89,54.55,true,36,97.22,36.36,true
Sam Hauser,56,91.07,52.94,true,55,83.64,58.82,true,55,92.73,47.06,true,33,90.91,40,true,34,97.06,45.45,true,34,94.12,45.45,true,34,97.06,54.55,true,34,88.24,36.36,true
Sam Merrill,39,97.44,58.33,true,39,82.05,50,true,39,94.87,50,true,35,97.14,54.55,true,25,96,62.5,true,25,92,37.5,true,25,100,62.5,true,25,100,25,true
Santi Aldama,41,85.37,61.54,true,41,85.37,46.15,true,42,97.62,30.77,true,28,89.29,66.67,true,14,100,40,true,14,100,40,true,13,92.31,25,true,14,85.71,60,true
Scoot Henderson,13,92.31,75,true,13,100,50,true,13,100,50,true,11,100,100,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Shaedon Sharpe,46,95.65,64.29,true,46,89.13,42.86,true,46,97.83,64.29,true,44,84.09,50,true,23,91.3,28.57,true,23,82.61,57.14,true,23,95.65,57.14,true,23,91.3,42.86,true
Simone Fontecchio,36,86.11,45.45,true,36,86.11,63.64,true,36,100,81.82,true,6,100,,true,20,100,33.33,true,20,95,33.33,true,20,100,33.33,true,20,100,50,true
Sion James,56,89.29,52.94,true,57,85.96,55.56,true,57,91.23,38.89,true,11,81.82,25,true,40,87.5,41.67,true,40,90,50,true,39,89.74,33.33,true,39,87.18,66.67,true
Stephen Curry,38,97.37,58.33,true,38,92.11,25,true,38,94.74,50,true,38,89.47,33.33,true,14,100,60,true,14,100,20,true,14,100,20,true,14,100,60,true
Stephon Castle,53,88.68,43.75,true,51,90.2,75,true,53,90.57,56.25,true,46,86.96,64.29,true,35,91.43,36.36,true,35,88.57,54.55,true,35,97.14,36.36,true,35,82.86,63.64,true
Svi Mykhailiuk,41,90.24,69.23,true,40,90,25,true,39,94.87,16.67,true,37,83.78,25,true,19,100,66.67,true,19,100,66.67,true,19,100,66.67,true,19,94.74,33.33,true
Tari Eason,39,94.87,41.67,true,39,92.31,41.67,true,39,89.74,25,true,36,91.67,18.18,true,29,86.21,55.56,true,29,93.1,11.11,true,29,93.1,44.44,true,29,86.21,55.56,true
Taylor Hendricks,21,90.48,71.43,true,21,100,42.86,true,18,83.33,66.67,true,13,92.31,50,true,18,88.89,66.67,true,18,88.89,66.67,true,18,88.89,66.67,true,18,100,50,true
Tidjane Salaün,15,86.67,40,true,15,93.33,80,true,15,100,40,true,3,100,,true,12,91.67,50,true,10,100,66.67,true,12,83.33,50,true,10,100,0,true
Tobias Harris,45,97.78,64.29,true,44,90.91,57.14,true,45,93.33,85.71,true,42,83.33,38.46,true,29,82.76,66.67,true,29,89.66,66.67,true,29,96.55,55.56,true,29,96.55,66.67,true
Trae Young,10,100,33.33,true,10,100,33.33,true,10,90,66.67,true,10,100,33.33,true,5,100,,true,5,100,,true,5,100,,true,5,100,,true
Tre Johnson,48,95.83,46.67,true,48,87.5,53.33,true,48,89.58,53.33,true,37,86.49,25,true,30,100,22.22,true,31,87.1,60,true,31,93.55,50,true,31,93.55,40,true
Trendon Watford,18,88.89,33.33,true,18,94.44,16.67,true,18,94.44,66.67,true,7,100,,true,8,100,33.33,true,9,100,66.67,true,9,100,33.33,true,9,100,0,true
Tristan Vukcevic,10,100,33.33,true,9,88.89,33.33,true,7,100,,true,3,100,,true,10,100,0,true,10,100,0,true,10,100,66.67,true,9,100,66.67,true
Tyler Herro,20,95,50,true,19,100,50,true,20,100,50,true,19,100,33.33,true,12,91.67,25,true,12,91.67,75,true,12,100,50,true,12,91.67,50,true
Tyler Kolek,13,100,25,true,13,100,75,true,13,100,50,true,3,100,,true,5,80,,true,5,100,,true,5,100,,true,5,80,,true
Tyrese Proctor,4,100,,true,4,100,,true,4,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Tyus Jones,22,90.91,71.43,true,22,95.45,57.14,true,23,91.3,42.86,true,9,100,66.67,true,9,100,33.33,true,9,100,33.33,true,9,88.89,33.33,true,9,100,33.33,true
Will Richard,33,90.91,60,true,33,87.88,50,true,31,90.32,40,true,16,93.75,40,true,17,94.12,33.33,true,17,88.24,33.33,true,18,94.44,50,true,17,100,33.33,true
Zach Collins,9,100,100,true,9,100,100,true,8,100,33.33,true,1,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Zeke Nnaji,13,100,50,true,13,92.31,25,true,13,92.31,50,true,3,100,,true,8,100,33.33,true,8,100,66.67,true,8,100,33.33,true,8,100,66.67,true
Ziaire Williams,33,84.85,80,true,35,97.14,63.64,true,32,96.88,60,true,17,94.12,83.33,true,13,84.62,25,true,13,84.62,25,true,14,92.86,20,true,13,100,75,true
Zion Williamson,46,86.96,42.86,true,46,86.96,42.86,true,46,80.43,57.14,true,1,100,,true,33,93.94,20,true,33,81.82,40,true,33,96.97,50,true,33,90.91,50,true
